"userid";"contentid";"score"
"user1";131137;5.0
"user1";863745;3.0
"user1";863745;2.5
"user1";2520744;2.0
"user1";2520744;2.0
"user1";2045414;4.5
"user1";2454355;2.0
"user1";2454355;4.5
"user1";2454355;2.0
"user1";2454355;5.0
"user1";2454355;2.0
"user1";2479634;4.0
"user1";2479634;3.0
"user1";2479634;2.0
"user1";130152;5.0
"user1";130152;1.0
"user1";130152;2.5
"user1";1825057;1.5
"user1";1825057;3.0
"user1";2529533;2.0
"user1";2529533;4.0
"user1";2529533;3.0
"user1";2529533;4.0
"user1";2031308;2.0
"user1";2031308;2.0
"user1";2031308;5.0
"user1";2031308;3.0
"user1";2031308;2.0
"user1";130431;1.0
"user1";130431;2.0
"user1";130431;1.0
"user1";2015800;4.0
"user1";2015800;3.0
"user1";2015800;1.0
"user1";2015800;3.0
"user1";129856;1.0
"user1";129856;3.0
"user1";129856;4.0
"user1";129856;3.0
"user1";129856;5.0
"user1";2520852;3.0
"user1";1595111;4.0
"user1";1595111;5.0
"user1";1595111;4.0
"user1";1595111;3.0
"user1";130477;1.0
"user1";130477;1.0
"user1";1605990;4.0
"user1";1605990;5.0
"user1";1605990;4.0
"user1";1605990;1.5
"user1";1605990;5.0
"user1";2520907;1.0
"user1";2520907;3.5
"user1";2520949;4.0
"user1";2520949;2.0
"user1";2520949;5.0
"user1";2520949;5.0
"user1";130624;5.0
"user1";130624;5.0
"user1";130624;4.0
"user1";130624;1.0
"user1";130624;2.0
"user1";129731;4.0
"user1";129731;1.0
"user1";129731;4.0
"user1";129731;3.0
"user1";129731;2.0
"user1";130286;4.0
"user1";130286;1.5
"user1";130286;2.0
"user1";130286;4.0
"user1";2454355;1.0
"user1";2454355;4.0
"user1";2454355;2.0
"user1";561681;5.0
"user1";561681;3.0
"user1";561681;3.0
"user1";130627;5.0
"user1";2521034;5.0
"user1";2521034;4.0
"user1";2521034;4.0
"user1";2521034;3.5
"user2";126804;1.0
"user2";126804;5.0
"user2";126804;1.0
"user2";1196867;5.0
"user2";2520677;4.0
"user2";2520677;3.0
"user2";2520677;1.0
"user2";2520677;1.0
"user2";2520677;4.0
"user2";2520908;4.0
"user2";2520908;2.0
"user2";1835201;3.5
"user2";1835201;1.5
"user2";1835201;5.0
"user2";1835201;1.5
"user2";2446566;4.0
"user2";2446566;2.0
"user2";2446566;1.0
"user2";129833;4.0
"user2";1957600;1.0
"user2";1957600;1.0
"user2";1957600;4.0
"user2";2520960;2.0
"user2";2520960;2.0
"user2";2520960;3.0
"user2";2520960;5.0
"user2";1362516;2.5
"user2";1362516;1.0
"user2";1362516;5.0
"user2";1362516;3.0
"user2";1362516;3.0
"user2";2520660;5.0
"user2";2520660;4.0
"user2";2520660;4.0
"user2";2520660;3.0
"user2";2436503;1.0
"user2";2436503;5.0
"user2";126919;2.0
"user2";2521023;3.5
"user2";2521023;3.0
"user2";2521023;5.0
"user2";2521023;4.0
"user2";130972;1.0
"user2";2520960;3.0
"user2";2520960;3.0
"user2";2520960;5.0
"user2";1177751;1.0
"user2";1177751;4.0
"user2";1177751;1.0
"user2";1177751;5.0
"user2";1177751;4.0
"user2";1836287;5.0
"user2";1836287;5.0
"user2";2520462;1.0
"user2";2520462;2.0
"user2";2520462;1.0
"user2";2520462;4.0
"user2";2520865;5.0
"user2";2520865;3.0
"user2";2520865;1.0
"user2";2520865;2.0
"user2";2520865;1.5
"user2";141363;1.0
"user2";141363;3.0
"user2";141363;2.0
"user2";141363;4.0
"user2";141363;1.0
"user3";2488359;2.0
"user3";2488359;1.0
"user3";2488359;5.0
"user3";2488359;2.0
"user3";2488359;3.0
"user3";2499601;4.0
"user3";2499601;3.0
"user3";2499601;4.0
"user3";1177980;3.0
"user3";1177980;4.0
"user3";1177980;3.0
"user3";1177980;3.0
"user3";2425907;1.0
"user3";2425907;5.0
"user3";2425907;4.0
"user3";2425907;4.0
"user3";2520738;2.5
"user3";2520738;1.0
"user3";2520738;2.0
"user3";130374;4.0
"user3";130374;3.0
"user3";130374;5.0
"user3";130374;2.0
"user3";130374;5.0
"user3";130920;3.0
"user3";130920;2.0
"user3";130920;3.5
"user3";130920;1.0
"user3";130920;4.0
"user3";593570;1.0
"user3";593570;1.0
"user3";130403;3.5
"user3";130403;1.5
"user3";130403;5.0
"user3";130403;1.0
"user3";130257;2.0
"user3";130257;2.0
"user3";130257;5.0
"user3";987808;5.0
"user3";987808;4.0
"user3";130303;5.0
"user3";130303;5.0
"user3";130303;5.0
"user3";130303;3.5
"user3";1827189;2.0
"user3";1827189;4.0
"user3";1827189;1.5
"user3";1827189;2.5
"user3";1827189;3.0
"user3";250166;2.0
"user3";250166;2.5
"user3";250166;1.0
"user3";2520712;5.0
"user3";2520712;4.0
"user3";2520712;1.0
"user3";2520712;3.0
"user3";2520712;5.0
"user3";2520677;2.0
"user3";132686;3.0
"user3";132686;3.0
"user3";132686;3.0
"user3";130154;1.0
"user3";130154;5.0
"user3";130154;4.0
"user3";130154;4.0
"user3";1605920;2.0
"user3";1605920;3.0
"user3";2481950;2.0
"user3";2481950;5.0
"user3";2521080;4.0
"user3";2452842;4.0
"user3";2452842;2.0
"user3";2452842;4.0
"user3";2452842;2.0
"user3";2519620;4.0
"user3";822861;1.0
"user3";822861;1.0
"user3";992288;2.0
"user3";992288;5.0
"user3";992288;3.0
"user3";264470;3.0
"user3";264470;3.0
"user3";264470;2.0
"user3";2484146;4.0
"user4";126489;5.0
"user4";126489;1.0
"user4";131331;1.0
"user4";2520651;5.0
"user4";2520651;1.0
"user4";2520651;3.0
"user4";2520651;1.0
"user4";2520651;5.0
"user4";2469944;4.5
"user4";2469944;5.0
"user4";2469944;4.0
"user4";2469944;1.0
"user4";987809;2.0
"user4";987809;2.0
"user4";987809;3.0
"user4";2520700;1.0
"user4";2520700;4.0
"user4";2520700;4.0
"user4";2456110;4.0
"user4";2456110;5.0
"user4";2456110;3.0
"user4";2456110;3.5
"user4";2456110;1.0
"user4";1964937;3.0
"user4";1964937;5.0
"user4";1964937;5.0
"user4";2520971;3.5
"user4";2520898;5.0
"user4";2520898;5.0
"user4";2520898;5.0
"user4";2520898;1.0
"user4";2520898;2.0
"user4";132202;1.0
"user4";132202;3.0
"user4";132202;4.0
"user4";2492032;2.0
"user4";2492032;4.0
"user4";2492032;1.0
"user4";1918710;2.5
"user4";1918710;1.0
"user4";1918710;1.0
"user4";1918710;4.0
"user4";2454017;2.0
"user4";2454017;5.0
"user4";2454017;1.0
"user4";264375;1.0
"user4";264375;1.0
"user4";264375;4.5
"user4";264375;5.0
"user4";264375;3.0
"user4";126909;1.0
"user4";126909;3.0
"user4";126909;1.0
"user4";126909;5.0
"user4";1030763;5.0
"user4";1030763;1.0
"user4";126919;5.0
"user4";126919;5.0
"user4";126919;4.0
"user4";126919;3.0
"user4";2520928;3.0
"user4";2520928;1.0
"user4";2520928;1.0
"user4";131309;2.0
"user4";131309;3.0
"user4";131309;5.0
"user4";131309;4.0
"user4";130571;1.0
"user4";130571;1.0
"user4";129794;1.0
"user4";129794;1.0
"user4";2520838;4.0
"user4";2520838;1.0
"user4";130152;2.0
"user4";130152;2.0
"user4";130152;5.0
"user4";2521036;4.5
"user4";2521036;3.0
"user4";2521036;5.0
"user4";2521036;3.0
"user4";2521036;2.0
"user5";1829610;2.0
"user5";1829610;5.0
"user5";127016;2.5
"user5";127016;5.0
"user5";127016;1.0
"user5";130306;1.5
"user5";130306;3.0
"user5";130306;1.0
"user5";130306;4.0
"user5";130603;3.0
"user5";130603;5.0
"user5";2520726;4.0
"user5";2520726;4.0
"user5";2520726;4.0
"user5";2509372;4.0
"user5";2509372;4.0
"user5";2509372;5.0
